Type,Benchmark,Task,Instruction,Images
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Place this white jacket on me please,model_wp_000_img1_PRETTYGARDEN_Women39s_Boho_Floral_Maxi_Dress_Summer_Short_Sl.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,I want to see how this casual dress looks on me,portrait_w_001_ANRABESS_Womens_Summer_Maxi_Dress_Short_Sleeve_Casual_Loose_.jpg; w_dress_003_Sponsored_Ad_-_Zeagoo_Womens_Casual_Dress_for_Summer_Tank_Dr.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,I want to see how this cropped jacket looks on me,model_wp_001_img1_PRETTYGARDEN_Women39s_Summer_Floral_Boho_Maxi_Dress_Short_Sl.jpg; w_outer_006_Sponsored_Ad_-_Grabsa_Women_s_Button_Down_Long_Sleeve_Croppe.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Show what I'd look like in this knit top and skinny pants,model_wp_002_img1_PRETTYGARDEN_Summer_Dresses_for_Women_2026_Casual_Floral_Boh.jpg; w_top_009_Sponsored_Ad_-_Artfish_Women_s_Round_Neck_Long_Sleeve_Knit_R.jpg; w_bottom_000_Sponsored_Ad_-_KUNMI_Womens_Classic_High_Waisted_Skinny_Stre.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Place this casual dress and sneakers on me please,model_wp_003_img1_Women39s_2026_Spring_Formal_Evening_Gown_Elegant_Long_Prom_D.jpg; w_dress_002_Sponsored_Ad_-_Summer_Casual_Floral_Dresses_for_Women_Beach_.jpg; w_shoe_003_Sponsored_Ad_-_SERNIAL_Womens_White_Tennis_Shoes_PU_Leather_.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Place this casual dress on me please,model_wp_004_img1_ZESICA_Women39s_Long_Sleeve_Floral_Bodycon_Dress_2026_Spring.jpg; w_top_005_Sponsored_Ad_-_Fayenne_Womens_Tops_Dressy_Casual_V_Neck_Ruff.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,I want to see how this blazer and bodycon dress looks on me,portrait_w_006_Womens_Summer_Dresses_Floral_Patterns_Vintage_Elegant_Cockta.jpg; w_outer_008_Sponsored_Ad_-_Cicy_Bell_Womens_Casual_Blazers_Open_Front_Lo.jpg; w_dress_009_CHICME_Bodycon_Midi_Dress_for_Women_Mesh_Puff_Sleeve_Slit_Wo.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Put this denim jacket and jeans on me,model_wp_005_img1_BTFBM_Women_Summer_Floral_Maxi_Dresses_Elegant_Spaghetti_Str.jpg; w_outer_001_Wrangler_Authentics_womens_Stretch_Denim_Jacket.jpg; w_bottom_002_Sponsored_Ad_-_Rammus_Jeggings_Pull_on_Stretchy_Jeans_for_Wo.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Try this dress on my body,model_wp_006_img1_Verdusa_Women39s_Floral_Mesh_Maxi_Dresses_Elegant_Formal_Lon.jpg; w_dress_004_OFEEFAN_Womens_Summer_Dresses_Fashion_Short_Sleeve_Crew_Neck.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,"Apply this denim jacket, linen pants, and sneakers to my photo",portrait_w_009_Flessibili_Womens_Summer_Floral_Maxi_Dress_Wedding_Guest_Par.jpg; w_outer_007_Sponsored_Ad_-_Justalwart_Women_s_Oversized_Vintage_Denim_Ja.jpg; w_bottom_008_Sponsored_Ad_-_Amazon_Essentials_Women_s_Pull_On_Linen_Blend.jpg; w_shoe_009_Sponsored_Ad_-_Abbleet_Women_s_Ankle_Boots_Pointed_Toe_Chunk.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Show me wearing this top and jeans,model_wp_007_img1_Verdusa_Women39s_Floral_Mesh_Maxi_Dresses_Elegant_Formal_Lon.jpg; w_top_000_Sponsored_Ad_-_domirica_Elegant_Button_Up_Shirts_for_Women_L.jpg; w_bottom_001_Sponsored_Ad_-_KUNMI_Women_s_Wide_Leg_Jeans_High_Waisted_Str.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Dress me up with this casual dress and sneakers,portrait_w_011_Maxigerui_Women_s_Summer_Floral_Maxi_Dress_Spring_Wedding_Gu.jpg; w_dress_003_Sponsored_Ad_-_Zeagoo_Womens_Casual_Dress_for_Summer_Tank_Dr.jpg; w_shoe_004_adidas_Women_s_Grand_Court_2_0_Tennis_Shoe.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Put this top on me,model_wp_008_img1_Verdusa_Women39s_Floral_Mesh_Maxi_Dresses_Elegant_Formal_Lon.jpg; w_top_006_Sponsored_Ad_-_Missufe_Women_s_Crew_Neck_Short_Sleeve_Ribbed.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Apply this blazer and casual dress to my photo,portrait_w_013_Sissyaki_Women_s_Floral_Maxi_Dress_2026_Summer_Spring_Weddin.jpg; w_outer_009_Ahlaray_Women_s_Blazer_Business_Casual_Lapel_Collar_Long_Sle.jpg; w_dress_000_Sponsored_Ad_-_POPYOUNG_Women_s_Summer_T_Shirt_Dress_Casual_.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Show what I'd look like in this jacket and jeans,model_wp_009_img1_ZESICA_Women39s_Summer_Off_Shoulder_Floral_Bodycon_Maxi_Dres.jpg; w_outer_002_Lee_Women_s_Rider_Jacket.jpg; w_bottom_003_Sponsored_Ad_-_Vibrant_Women_s_Denim_Skinny_Jeans_Super_Stre.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Show me wearing this top and dress,model_mp_000_img1_MAGE_MALE_Men39s_3_Pieces_Suit_Elegant_Solid_One_Button_Slim.jpg; m_top_000_Sponsored_Ad_-_Nautica_Men_s_Classic_Fit_Short_Sleeve_Dual_T.jpg; m_bottom_001_Sponsored_Ad_-_Libin_Mens_Golf_Pants_Stretch_Work_Dress_Pant.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Dress me up with this blazer and chinos,model_mp_001_img1_MAGE_MALE_Men39s_3_Pieces_Suit_Elegant_Solid_One_Button_Slim.jpg; m_outer_003_COOFANDY_Mens_Casual_Blazer_Knit_Sport_Coat_Lightweight_Two_.jpg; m_bottom_004_Dockers_Men_s_Slim_Fit_Signature_Khaki_Lux_Cotton_Stretch_Pa.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Apply this blazer to my photo,model_mp_002_img1_MAGE_MALE_Men39s_3_Pieces_Suit_Elegant_Solid_One_Button_Slim.jpg; m_outer_006_Sponsored_Ad_-_COOFANDY_Mens_Casual_Blazer_Knit_Sport_Coat_L.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Apply this top to my photo,model_mp_003_img1_LUPURTY_Suits_for_Men_3_Piece_Men39s_Suit_Slim_Fit_Solid_Jac.jpg; m_top_009_Sponsored_Ad_-_Field_Stream_Men_s_Hemingway_Long_Sleeve_Henl.jpg
